name,rating,price,screen size,resolution,refresh rate,response time (G2G),panel type,aspect ratio,link
"Alienware AW3225QF 31.6"" 3840 x 2160 240 Hz Monitor",,$1199.99,"31.6""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,https://www.amazon.com/s?k=Alienware+AW3225QF+31.6%26quot%3B+3840+x+2160+240+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Dell E2020H 19.5"" 1600 x 900 60 Hz Monitor",,$129.99,"19.5""",1600 x 900,60 Hz,5 ms,TN,16:9,https://www.amazon.com/dp/B084BV1WZW?tag=bgfg-pc-builder-us-20
"AOC Agon PRO AG276QZD2 26.7"" 2560 x 1440 240 Hz Monitor",,$399.99,"26.7""",2560 x 1440,240 Hz,0.03 ms,QD-OLED,16:9,https://www.amazon.com/dp/B0D682HF6R?tag=bgfg-pc-builder-us-20
"Gigabyte M27Q 27.0"" 2560 x 1440 170 Hz Monitor",4.8,$279.99,"27""",2560 x 1440,170 Hz,N/A,IPS,16:9,https://www.amazon.com/dp/B08JWCHR5N?tag=bgfg-pc-builder-us-20
"LG UltraGear 27.0"" 2560 x 1440 165 Hz Monitor",,,"27""",2560 x 1440,165 Hz,1 ms,IPS,16:9,https://www.amazon.com/s?k=LG+UltraGear+27.0%22+2560+x+1440+165+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG UltraGear 32GS95UE-B 31.5"" 3840 x 2160 240 Hz Monitor",,,"31.5""",3840 x 2160,240 Hz,0.03 ms,OLED,16:9,https://www.amazon.com/s?k=LG+UltraGear+32GS95UE-B+31.5%26quot%3B+3840+x+2160+240+Hz+Monitor&tag=bgfg-pc-builder-us-20
"AOC Q27G3XMN 27.0"" 2560 x 1440 180 Hz Monitor",,,"27""",2560 x 1440,180 Hz,1 ms,VA,16:9,https://www.amazon.com/s?k=AOC+Q27G3XMN+27.0%26quot%3B+2560+x+1440+180+Hz+Monitor&tag=bgfg-pc-builder-us-20
"KOORUI 27E1QA 27.0"" 2560 x 1440 144 Hz Monitor",,$151.99,"27""",2560 x 1440,144 Hz,N/A,VA,16:9,https://www.amazon.com/dp/B0B1B3VZLD?tag=bgfg-pc-builder-us-20
"Asus ROG Swift OLED PG27AQDM 26.5"" 2560 x 1440 240 Hz Monitor",,$999.00,"26.5""",2560 x 1440,240 Hz,0.03 ms,OLED,16:9,https://www.amazon.com/dp/B0BZRBYLP1?tag=bgfg-pc-builder-us-20
"Samsung Odyssey G55C 32.0"" 2560 x 1440 165 Hz Curved Monitor",,$349.99,"32""",2560 x 1440,165 Hz,1 ms,VA,16:9,https://www.amazon.com/dp/B0CZB78CJP?tag=bgfg-pc-builder-us-20
"MSI MPG 321URX QD-OLED 31.5"" 3840 x 2160 240 Hz Monitor",,$949.99,"31.5""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,https://www.amazon.com/s?k=MSI+MPG+321URX+QD-OLED+31.5%26quot%3B+3840+x+2160+240+Hz+Monitor&tag=bgfg-pc-builder-us-20
"MSI MAG 271QPX QD-OLED 26.5"" 2560 x 1440 360 Hz Monitor",,$720.99,"26.5""",2560 x 1440,360 Hz,0.03 ms,QD-OLED,16:9,https://www.amazon.com/dp/B0CWPXVQJN?tag=bgfg-pc-builder-us-20
"Dell UP3218K 31.5"" 7680 x 4320 60 Hz Monitor",,$3769.99,"31.5""",7680 x 4320,60 Hz,6 ms,IPS,16:9,https://www.amazon.com/dp/B0716BWCT9?tag=bgfg-pc-builder-us-20
"Asus ROG Swift OLED PG32UCDP 31.5"" 3840 x 2160 240 Hz Monitor",,,"31.5""",3840 x 2160,240 Hz,0.03 ms,WOLED,16:9,https://www.amazon.com/s?k=Asus+ROG+Swift+OLED+PG32UCDP+31.5%22+3840+x+2160+240+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Sceptre E205W-16003R 19.5"" 1600 x 900 75 Hz Monitor",4.2,$98.47,"19.5""",1600 x 900,75 Hz,5 ms,N/A,16:9,https://www.amazon.com/dp/B07743412C?tag=bgfg-pc-builder-us-20
"Asus VG248QG 24.0"" 1920 x 1080 165 Hz Monitor",4.8,$189.00,"24""",1920 x 1080,165 Hz,0.5 ms,TN,16:9,https://www.amazon.com/dp/B07TNM8L6S?tag=bgfg-pc-builder-us-20
"Asus TUF Gaming VG27AQA1A 27.0"" 2560 x 1440 170 Hz Monitor",,$249.99,"27""",2560 x 1440,170 Hz,N/A,VA,16:9,https://www.amazon.com/dp/B0BHKCQBMN?tag=bgfg-pc-builder-us-20
"Acer Nitro XV1 XV271U 27.0"" 2560 x 1440 180 Hz Monitor",4.7,$270.00,"27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0C4Z8RFY9?tag=bgfg-pc-builder-us-20
"MSI G274F 27.0"" 1920 x 1080 180 Hz Monitor",,$149.99,"27""",1920 x 1080,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0CBQT9JH8?tag=bgfg-pc-builder-us-20
"Asus ROG Strix 26.5"" 2560 x 1440 240 Hz Monitor",,$699.99,"26.5""",2560 x 1440,240 Hz,0.03 ms,OLED,16:9,https://www.amazon.com/dp/B0CZWM44QP?tag=bgfg-pc-builder-us-20
"MSI MAG 274QRFW 27.0"" 2560 x 1440 180 Hz Monitor",,$249.99,"27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0CZ7J26B4?tag=bgfg-pc-builder-us-20
"MSI G274QPX 27.0"" 2560 x 1440 240 Hz Monitor",,$379.99,"27""",2560 x 1440,240 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0C4MLN8P8?tag=bgfg-pc-builder-us-20
"Samsung Odyssey G4 27.0"" 1920 x 1080 240 Hz Monitor",,$249.99,"27""",1920 x 1080,240 Hz,1 ms,IPS,16:9,https://www.amazon.com/s?k=Samsung+Odyssey+G4+27.0%22+1920+x+1080+240+Hz+Monitor&tag=bgfg-pc-builder-us-20
"MSI Pro 24.5"" 1920 x 1080 100 Hz Monitor",,$79.98,"24.5""",1920 x 1080,100 Hz,4 ms,IPS,16:9,https://www.amazon.com/dp/B0CJKVT223?tag=bgfg-pc-builder-us-20
"LG 27GS95QE-B 27.0"" 2560 x 1440 240 Hz Monitor",,$726.99,"27""",2560 x 1440,240 Hz,0.03 ms,OLED,16:9,https://www.amazon.com/dp/B0CSGWXVBN?tag=bgfg-pc-builder-us-20
"Samsung T350 22.0"" 1920 x 1080 75 Hz Monitor",,$129.99,"22""",1920 x 1080,75 Hz,5 ms,IPS,16:9,https://www.amazon.com/dp/B08FNW672V?tag=bgfg-pc-builder-us-20
"Sony INZONE M10S 27.0"" 2560 x 1440 480 Hz Monitor",,$998.00,"27""",2560 x 1440,480 Hz,0.03 ms,OLED,16:9,https://www.amazon.com/dp/B0D9R7HCVG?tag=bgfg-pc-builder-us-20
"MSI MPG 341CQPX QD-OLED 34.0"" 3440 x 1440 240 Hz Curved Monitor",,,"34""",3440 x 1440,240 Hz,0.03 ms,QD-OLED,21:9,https://www.amazon.com/s?k=MSI+MPG+341CQPX+QD-OLED+34.0%22+3440+x+1440+240+Hz+Curved+Monitor&tag=bgfg-pc-builder-us-20
"LG 27GL83A-B 27.0"" 2560 x 1440 144 Hz Monitor",4.7,$249.99,"27""",2560 x 1440,144 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B07YGZL8XF?tag=bgfg-pc-builder-us-20
"Asus TUF Gaming 27.0"" 2560 x 1440 260 Hz Monitor",,,"27""",2560 x 1440,260 Hz,1 ms,IPS,16:9,https://www.amazon.com/s?k=Asus+TUF+Gaming+27.0%22+2560+x+1440+260+Hz+Monitor&tag=bgfg-pc-builder-us-20
"MSI G272QPF E2 27.0"" 2560 x 1440 180 Hz Monitor",,$219.99,"27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/s?k=MSI+G272QPF+E2+27.0%22+2560+x+1440+180+Hz+Monitor&tag=bgfg-pc-builder-us-20
"MSI MAG 255XFV 24.5"" 1920 x 1080 250 Hz Monitor",,$118.99,"24.5""",1920 x 1080,250 Hz,0.5 ms,VA,16:9,https://www.amazon.com/dp/B0D67TTKPN?tag=bgfg-pc-builder-us-20
"Asus TUF Gaming VG27AQ1A 27.0"" 2560 x 1440 170 Hz Monitor",4.8,$299.00,"27""",2560 x 1440,170 Hz,N/A,IPS,16:9,https://www.amazon.com/dp/B08CZ8QJTX?tag=bgfg-pc-builder-us-20
"Gigabyte ‎M28U 28.0"" 3840 x 2160 144 Hz Monitor",4.0,$529.99,"28""",3840 x 2160,144 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B094NX6C8R?tag=bgfg-pc-builder-us-20
"AOC 24G15N 23.8"" 1920 x 1080 180 Hz Monitor",,$109.99,"23.8""",1920 x 1080,180 Hz,N/A,VA,16:9,https://www.amazon.com/dp/B0CGVY3YYB?tag=bgfg-pc-builder-us-20
"MSI G2412F 24.0"" 1920 x 1080 180 Hz Monitor",,$109.99,"24""",1920 x 1080,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0CRM48855?tag=bgfg-pc-builder-us-20
"Gigabyte M27Q-X 27.0"" 2560 x 1440 240 Hz Monitor",,$399.99,"27""",2560 x 1440,240 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B09VH8B1XW?tag=bgfg-pc-builder-us-20
"LG UltraGear 34GS95QE-B 34.0"" 3440 x 1440 240 Hz Monitor",5.0,$1299.99,"34""",3440 x 1440,240 Hz,0.03 ms,OLED,21:9,https://www.amazon.com/s?k=LG+UltraGear+34GS95QE-B+34.0%22+3440+x+1440+240+Hz+Monitor&tag=bgfg-pc-builder-us-20
"MSI MAG 271QPX QD-OLED E2 26.5"" 2560 x 1440 240 Hz Monitor",,$720.99,"26.5""",2560 x 1440,240 Hz,0.03 ms,QD-OLED,16:9,https://www.amazon.com/dp/B0D68C1BVS?tag=bgfg-pc-builder-us-20
"LG 24GN650-B 24.0"" 1920 x 1080 144 Hz Monitor",5.0,$222.87,"24""",1920 x 1080,144 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B08V85XBFZ?tag=bgfg-pc-builder-us-20
"Samsung Odyssey G8 34.0"" 3440 x 1440 175 Hz Curved Monitor",,$1499.99,"34""",3440 x 1440,175 Hz,0.03 ms,QD-OLED,21:9,https://www.amazon.com/dp/B0BLF2RWNV?tag=bgfg-pc-builder-us-20
"BenQ ZOWIE XL2586X 24.1"" 1920 x 1080 540 Hz Monitor",,,"24.1""",1920 x 1080,540 Hz,N/A,TN,16:9,https://www.amazon.com/s?k=BenQ+ZOWIE+XL2586X+24.1%26quot%3B+1920+x+1080+540+Hz+Monitor&tag=bgfg-pc-builder-us-20
"MSI G244PF E2 23.8"" 1920 x 1080 180 Hz Monitor",,$119.99,"23.8""",1920 x 1080,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0CRM48J64?tag=bgfg-pc-builder-us-20
"Asus VA24EHF 23.8"" 1920 x 1080 100 Hz Monitor",,$99.00,"23.8""",1920 x 1080,100 Hz,N/A,IPS,16:9,https://www.amazon.com/dp/B0BZR83GZT?tag=bgfg-pc-builder-us-20
"MSI MPG 271QRX QD-OLED 27.0"" 2560 x 1440 360 Hz Monitor",,$799.99,"27""",2560 x 1440,360 Hz,0.03 ms,QD-OLED,16:9,https://www.amazon.com/s?k=MSI+MPG+271QRX+QD-OLED+27.0%26quot%3B+2560+x+1440+360+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Samsung Odyssey Neo G8 LS32BG852NNXGO 32.0"" 3840 x 2160 240 Hz Curved Monitor",,$1299.99,"32""",3840 x 2160,240 Hz,1 ms,VA,16:9,https://www.amazon.com/dp/B09ZH3WM47?tag=bgfg-pc-builder-us-20
"Alienware AW2725DF 26.7"" 2560 x 1440 360 Hz Monitor",5.0,$899.99,"26.7""",2560 x 1440,360 Hz,0.03 ms,QD-OLED,16:9,https://www.amazon.com/s?k=Alienware+AW2725DF+26.7%26quot%3B+2560+x+1440+360+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG UltraGear OLED 27GS93QE-B 26.5"" 2560 x 1440 240 Hz Monitor",,$599.99,"26.5""",2560 x 1440,240 Hz,0.03 ms,OLED,16:9,https://www.amazon.com/dp/B0DF786923?tag=bgfg-pc-builder-us-20
"MSI MAG 27CQ6F 27.0"" 2560 x 1440 180 Hz Curved Monitor",,,"27""",2560 x 1440,180 Hz,0.5 ms,VA,16:9,https://www.amazon.com/s?k=MSI+MAG+27CQ6F+27.0%22+2560+x+1440+180+Hz+Curved+Monitor&tag=bgfg-pc-builder-us-20
"ASRock PG27QFT1B 27.0"" 2560 x 1440 180 Hz Monitor",,$202.49,"27""",2560 x 1440,180 Hz,N/A,IPS,16:9,https://www.amazon.com/dp/B0D16WKPMF?tag=bgfg-pc-builder-us-20
"Asus ROG Swift OLED PG34WCDM 33.9"" 3440 x 1440 240 Hz Curved Monitor",,$1299.00,"33.94""",3440 x 1440,240 Hz,0.03 ms,OLED,21:9,https://www.amazon.com/s?k=Asus+ROG+Swift+OLED+PG34WCDM+33.9%26quot%3B+3440+x+1440+240+Hz+Curved+Monitor&tag=bgfg-pc-builder-us-20
"LG UltraGear 27.0"" 2560 x 1440 240 Hz Monitor",,$499.99,"27""",2560 x 1440,240 Hz,1 ms,IPS,16:9,https://www.amazon.com/s?k=LG+UltraGear+27.0%22+2560+x+1440+240+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Gigabyte G24F 2 23.8"" 1920 x 1080 180 Hz Monitor",,$129.99,"23.8""",1920 x 1080,180 Hz,N/A,IPS,16:9,https://www.amazon.com/s?k=Gigabyte+G24F+2+23.8%22+1920+x+1080+180+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Dell E1916H 18.5"" 1366 x 768 60 Hz Monitor",,,"18.5""",1366 x 768,60 Hz,5 ms,TN,16:9,https://www.amazon.com/s?k=Dell+E1916H+18.5%22+1366+x+768+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Asus TUF Gaming VG27AQ3A 27.0"" 2560 x 1440 180 Hz Monitor",4.0,$209.00,"27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0BZR9TMBJ?tag=bgfg-pc-builder-us-20
"Asus ROG Strix OLED XG27ACDNG 26.5"" 2560 x 1440 360 Hz Monitor",,$649.99,"26.5""",2560 x 1440,360 Hz,0.03 ms,QD-OLED,16:9,https://www.amazon.com/dp/B0D7NSZRJW?tag=bgfg-pc-builder-us-20
"Asus TUF Gaming VG34VQL3A 34.0"" 3440 x 1440 180 Hz Curved Monitor",,$393.09,"34""",3440 x 1440,180 Hz,1 ms,VA,21:9,https://www.amazon.com/dp/B0C7BBG2QB?tag=bgfg-pc-builder-us-20
"Acer Nitro EDA270U P 27.0"" 2560 x 1440 170 Hz Curved Monitor",,$179.99,"27""",2560 x 1440,170 Hz,N/A,VA,16:9,https://www.amazon.com/dp/B0CJVK87Y7?tag=bgfg-pc-builder-us-20
"Sceptre C305B-200UN 30.0"" 2560 x 1080 200 Hz Curved Monitor",4.5,$209.97,"30""",2560 x 1080,200 Hz,5 ms,VA,21:9,https://www.amazon.com/dp/B07TXM7K4T?tag=bgfg-pc-builder-us-20
"Samsung Odyssey G5 27.0"" 2560 x 1440 144 Hz Curved Monitor",,,"27""",2560 x 1440,144 Hz,N/A,VA,16:9,https://www.amazon.com/s?k=Samsung+Odyssey+G5+27.0%22+2560+x+1440+144+Hz+Curved+Monitor&tag=bgfg-pc-builder-us-20
"Asus ROG Strix XG27ACS 27.0"" 2560 x 1440 180 Hz Monitor",,$290.00,"27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0CV24GQ9W?tag=bgfg-pc-builder-us-20
"LG 24MR400-B 23.8"" 1920 x 1080 100 Hz Monitor",,,"23.8""",1920 x 1080,100 Hz,5 ms,IPS,16:9,https://www.amazon.com/s?k=LG+24MR400-B+23.8%22+1920+x+1080+100+Hz+Monitor&tag=bgfg-pc-builder-us-20
"LG 27GP850-B 27.0"" 2560 x 1440 165 Hz Monitor",4.6,$428.00,"27""",2560 x 1440,165 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B093MTSTKD?tag=bgfg-pc-builder-us-20
"MSI G27CQ4 E2 27.0"" 2560 x 1440 170 Hz Curved Monitor",,$179.99,"27""",2560 x 1440,170 Hz,N/A,VA,16:9,https://www.amazon.com/dp/B09YKTS7S1?tag=bgfg-pc-builder-us-20
"Asus TUF GAMING VG24VQE 23.6"" 1920 x 1080 165 Hz Curved Monitor",,$179.00,"23.6""",1920 x 1080,165 Hz,N/A,VA,16:9,https://www.amazon.com/dp/B08K2DSMJV?tag=bgfg-pc-builder-us-20
"Dell Alienware AW2524HF 24.5"" 1920 x 1080 500 Hz Monitor",,$449.99,"24.5""",1920 x 1080,500 Hz,0.5 ms,IPS,16:9,https://www.amazon.com/dp/B0CK3TG7P6?tag=bgfg-pc-builder-us-20
"Gigabyte AORUS FO32U2P 31.5"" 3840 x 2160 240 Hz Monitor",5.0,,"31.5""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,https://www.amazon.com/s?k=Gigabyte+AORUS+FO32U2P+31.5%22+3840+x+2160+240+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Acer KG241Y Sbiip 23.8"" 1920 x 1080 165 Hz Monitor",,$119.99,"23.8""",1920 x 1080,165 Hz,N/A,VA,16:9,https://www.amazon.com/dp/B0B6DFG1FQ?tag=bgfg-pc-builder-us-20
"Alienware AW2523HF 24.5"" 1920 x 1080 360 Hz Monitor",,$424.99,"24.5""",1920 x 1080,360 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0BDPCQ7PG?tag=bgfg-pc-builder-us-20
"Alienware AW2724HF 27.0"" 1920 x 1080 360 Hz Monitor",,$459.99,"27""",1920 x 1080,360 Hz,0.5 ms,IPS,16:9,https://www.amazon.com/s?k=Alienware+AW2724HF+27.0%22+1920+x+1080+360+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Asus ProArt Display PA32UCG-K 32.0"" 3840 x 2160 120 Hz Monitor",,$4309.16,"32""",3840 x 2160,120 Hz,5 ms,IPS,16:9,https://www.amazon.com/dp/B08ZC54V7C?tag=bgfg-pc-builder-us-20
"Asus TUF GAMING VG259QM 24.5"" 1920 x 1080 280 Hz Monitor",5.0,$279.00,"24.5""",1920 x 1080,280 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0876KP2CK?tag=bgfg-pc-builder-us-20
"AOC 24G4 23.8"" 1920 x 1080 180 Hz Monitor",,$149.99,"23.8""",1920 x 1080,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/s?k=AOC+24G4+23.8%26quot%3B+1920+x+1080+180+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Samsung Odyssey G40B 25.0"" 1920 x 1080 240 Hz Monitor",,$239.99,"25""",1920 x 1080,240 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0B45998BM?tag=bgfg-pc-builder-us-20
"MSI G2422C 24.0"" 1920 x 1080 180 Hz Curved Monitor",5.0,$139.99,"24""",1920 x 1080,180 Hz,N/A,VA,16:9,https://www.amazon.com/dp/B0CKH621P3?tag=bgfg-pc-builder-us-20
"MSI G244F E2 23.8"" 1920 x 1080 180 Hz Monitor",,$139.99,"23.8""",1920 x 1080,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0CRLXS8ZH?tag=bgfg-pc-builder-us-20
"Samsung Odyssey G7 27.0"" 2560 x 1440 240 Hz Curved Monitor",4.8,$548.99,"27""",2560 x 1440,240 Hz,1 ms,VA,16:9,https://www.amazon.com/dp/B088HJ4VQK?tag=bgfg-pc-builder-us-20
"Samsung Odyssey G5 34.0"" 3440 x 1440 165 Hz Curved Monitor",,,"34""",3440 x 1440,165 Hz,N/A,VA,21:9,https://www.amazon.com/s?k=Samsung+Odyssey+G5+34.0%22+3440+x+1440+165+Hz+Curved+Monitor&tag=bgfg-pc-builder-us-20
"AOC 24G4XE 24.0"" 1920 x 1080 180 Hz Monitor",,,"24""",1920 x 1080,180 Hz,N/A,IPS,16:9,https://www.amazon.com/s?k=AOC+24G4XE+24.0%22+1920+x+1080+180+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Samsung Odyssey OLED G6 (G61SD) 27.0"" 2560 x 1440 240 Hz Monitor",,$589.99,"27""",2560 x 1440,240 Hz,0.03 ms,OLED,16:9,https://www.amazon.com/dp/B0DHJD894W?tag=bgfg-pc-builder-us-20
"Samsung Odyssey G50D 27.0"" 2560 x 1440 180 Hz Monitor",,$209.99,"27""",2560 x 1440,180 Hz,1 ms,IPS,16:9,https://www.amazon.com/dp/B0CW7TM2FR?tag=bgfg-pc-builder-us-20
"HP E273q 27.0"" 2560 x 1440 60 Hz Monitor",,,"27""",2560 x 1440,60 Hz,N/A,IPS,16:9,https://www.amazon.com/s?k=HP+E273q+27.0%22+2560+x+1440+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"HP E273q 27.0"" 2560 x 1440 60 Hz Monitor",,,"27""",2560 x 1440,60 Hz,N/A,IPS,16:9,https://www.amazon.com/s?k=HP+E273q+27.0%22+2560+x+1440+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"HP E273q (Head Only) 27.0"" 2560 x 1440 60 Hz Monitor",,,"27""",2560 x 1440,60 Hz,N/A,IPS,16:9,https://www.amazon.com/s?k=HP+E273q+%28Head+Only%29+27.0%22+2560+x+1440+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Monoprice CrystalPro 23.8"" 1920 x 1080 75 Hz Monitor",,$149.99,"23.8""",1920 x 1080,75 Hz,N/A,IPS,16:9,https://www.amazon.com/s?k=Monoprice+CrystalPro+23.8%22+1920+x+1080+75+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Monoprice Dark Matter 23.8"" 1920 x 1080 144 Hz Monitor",,$179.99,"23.8""",1920 x 1080,144 Hz,N/A,VA,16:9,https://www.amazon.com/s?k=Monoprice+Dark+Matter+23.8%22+1920+x+1080+144+Hz+Monitor&tag=bgfg-pc-builder-us-20
"Acer VA241Y 23.8"" 1920 x 1080 60 Hz Monitor",,$119.99,"23.8""",1920 x 1080,60 Hz,N/A,VA,16:9,https://www.amazon.com/dp/B09JL3BHZ4?tag=bgfg-pc-builder-us-20
"Acer BL270 27.0"" 1920 x 1080 60 Hz Monitor",,,"27""",1920 x 1080,60 Hz,N/A,IPS,16:9,https://www.amazon.com/s?k=Acer+BL270+27.0%22+1920+x+1080+60+Hz+Monitor&tag=bgfg-pc-builder-us-20
